"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17383","Search for a existing product using the search bar @TC-001","Product Search Functionality @search","2026-08-22","passed","2026-08-22","","","",""
"","30957","Open a product detail page @TC-020","Product Detail @product-detail","2026-08-22","passed","2026-08-22","","","",""
"","36107","Validate product name price and description @TC-021","Product Detail @product-detail","2026-08-22","passed","2026-08-22","","","",""
"","28880","Combine size and color filters @TC-015","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","34990","Validate five star product reviews @TC-027","Product Reviews @product-reviews","2026-08-22","passed","2026-08-22","","","",""
"","19291","Filter products by color @TC-014","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","31500","Filter products by multiple brands @TC-011","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","35448","Validate product availability @TC-023","Product Stock and Availability @product-stock","2026-08-22","passed","2026-08-22","","","",""
"","29645","Validate product code @TC-025","Product Stock and Availability @product-stock","2026-08-22","passed","2026-08-22","","","",""
"","29666","Remove an active brand filter @TC-012","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","12533","Search for a non-existing product using the search bar @TC-002","Product Search Functionality @search","2026-08-22","passed","2026-08-22","","","",""
"","19992","Filter products by a specific price range @TC-008","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","25029","Filter products by one brand @TC-010","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","25559","Filter products by size @TC-013","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","21422","Validate products inside the selected price range @TC-009","Product Filters @filters","2026-08-22","passed","2026-08-22","","","",""
"","25993","Validate the displayed search results @TC-003","Product Search Functionality @search","2026-08-22","passed","2026-08-22","","","",""
"","37845","View product reviews @TC-026","Product Reviews @product-reviews","2026-08-22","passed","2026-08-22","","","",""
"","31607","View the product image gallery @TC-022","Product Detail @product-detail","2026-08-22","passed","2026-08-22","","","",""
"","38132","View nearby stores with product availability @TC-024","Product Stock and Availability @product-stock","2026-08-22","passed","2026-08-22","","","",""
